TotalSF,Overall Qual,Neighborhood,Bsmt Qual,Exter Qual,Kitchen Qual,Garage Cars,TotalBathrooms,Age,Garage Finish,SalePrice
19289664.0,6,NAmes,TA,TA,TA,2.0,1.0,50,Fin,215000
7150276.0,5,NAmes,TA,TA,TA,1.0,1.0,49,Unf,105000
15896169.0,6,NAmes,TA,TA,Gd,1.0,1.5,52,Unf,172000
40068900.0,7,NAmes,TA,Gd,Ex,2.0,2.5,42,Fin,244000
17522596.0,5,Gilbert,Gd,TA,TA,2.0,2.5,13,Fin,189900
17089956.0,6,Gilbert,TA,TA,Gd,2.0,2.5,12,Fin,195500
16112196.0,8,StoneBr,Gd,Gd,Gd,2.0,2.0,9,Fin,213500
14745600.0,8,StoneBr,Gd,Gd,Gd,2.0,2.0,18,RFn,191500
23299929.0,8,StoneBr,Gd,Gd,Gd,2.0,2.0,15,RFn,236500
21178404.0,7,Gilbert,TA,TA,Gd,2.0,2.5,11,Fin,189000
16589329.0,6,Gilbert,Gd,TA,TA,2.0,2.5,17,Fin,175900
12545764.0,6,Gilbert,Gd,TA,TA,2.0,2.0,18,Fin,185000
13830961.0,6,Gilbert,Gd,TA,TA,2.0,2.5,12,Fin,180400
15856324.0,7,Gilbert,Gd,TA,Gd,2.0,1.5,20,Unf,171500
20178064.0,8,StoneBr,Gd,Gd,Gd,2.0,1.5,25,RFn,212000
67371264.0,8,StoneBr,Gd,Ex,Ex,3.0,3.5,7,Fin,538000
16507969.0,8,Gilbert,Gd,Gd,TA,2.0,2.0,22,RFn,164000
31002624.0,9,StoneBr,Ex,Gd,Ex,3.0,1.5,0,Fin,394432
6718464.0,4,Gilbert,TA,TA,TA,2.0,1.0,59,Unf,141000
32353344.0,6,NWAmes,Gd,TA,TA,2.0,2.0,32,Unf,210000
30603024.0,6,NWAmes,Gd,TA,TA,2.0,2.0,33,RFn,190000
11553201.0,7,NWAmes,Gd,TA,Gd,2.0,2.0,36,RFn,170000
17322244.0,7,Somerst,Gd,Gd,Gd,2.0,2.5,10,RFn,216000
9072144.0,6,NAmes,TA,TA,TA,2.0,1.0,40,Fin,149000
10458756.0,5,NAmes,TA,TA,TA,2.0,1.5,39,Fin,149900
10036224.0,5,NAmes,TA,TA,TA,1.0,1.0,42,Unf,142000
7001316.0,4,NAmes,TA,TA,TA,2.0,1.0,40,Fin,126000
6718464.0,4,NAmes,TA,TA,TA,0.0,1.0,39,,115000
16638241.0,7,NAmes,Gd,Gd,Gd,2.0,2.0,11,Fin,184000
6036849.0,6,BrDale,TA,TA,TA,1.0,1.5,39,Unf,96000
7338681.0,5,BrDale,TA,TA,TA,1.0,1.5,39,Unf,105500
7338681.0,6,BrDale,TA,TA,TA,1.0,1.5,39,Unf,88000
10284849.0,6,NPkVill,Gd,TA,TA,2.0,2.0,33,RFn,127500
14190289.0,6,NPkVill,TA,TA,Gd,2.0,2.5,35,Unf,149900
6290064.0,7,NPkVill,Gd,TA,TA,1.0,1.0,35,Unf,120000
14190289.0,6,NPkVill,Gd,TA,TA,2.0,2.5,32,Unf,146000
39162564.0,9,NridgHt,Ex,Ex,Ex,3.0,2.5,1,Fin,376162
26132544.0,8,NridgHt,Ex,Gd,Gd,3.0,2.0,3,RFn,306000
33756100.0,9,NridgHt,Ex,Ex,Ex,3.0,2.5,1,Fin,395192
21455424.0,8,NridgHt,Gd,Gd,Gd,3.0,2.0,1,RFn,290941
21372129.0,7,NridgHt,Gd,Gd,Gd,2.0,2.0,5,RFn,220000
25948836.0,9,NridgHt,Ex,Gd,Ex,3.0,2.0,5,Fin,275000
29877156.0,8,NridgHt,Ex,Gd,Ex,3.0,2.0,5,RFn,259000
21040569.0,7,NridgHt,Gd,Gd,Gd,2.0,2.0,6,RFn,214000
49815364.0,9,NridgHt,Ex,Ex,Ex,3.0,2.5,1,Fin,611657
16597476.0,7,NridgHt,Gd,Gd,Gd,2.0,2.0,1,RFn,224000
67864644.0,9,NridgHt,Ex,Ex,Ex,3.0,2.5,7,Fin,500000
38081241.0,8,NridgHt,Gd,Gd,Gd,3.0,2.5,8,Fin,320000
27625536.0,9,NridgHt,Ex,Ex,Ex,2.0,2.0,5,RFn,319900
16892100.0,8,NridgHt,Gd,Gd,Gd,2.0,2.0,4,RFn,205000
16128256.0,7,NridgHt,Gd,Gd,Gd,2.0,2.5,7,RFn,175500
15776784.0,6,Gilbert,Gd,Gd,Gd,2.0,2.0,5,Fin,199500
11799225.0,7,Blmngtn,Gd,Gd,Gd,2.0,2.0,4,Fin,160000
14394436.0,8,Blmngtn,Gd,Gd,Gd,2.0,2.0,6,Fin,192000
